;naam;straatnaam;nummeraanduiding;postcode;plaatsnaam;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES
BevoegdGezag;Naam;Straatnaam;Adres;Adres;Adres;Adres;Adres;BevoegdGezag;BevoegdGezag;BevoegdGezag
97137;De Kralingsche School;Rozenburglaan;27;3062 EB;ROTTERDAM;599;ROTTERDAM;Algemeen bijzonder;104526689;www.kralingscheschool.nl
97176;Ver. De v. Oldenbarneveltsch.;Jagthuisstraat;14;3022 PR;ROTTERDAM;599;ROTTERDAM;Algemeen bijzonder;102447125;www.oldenbarneveltschool.nl
97358;Sticht. 'van der Huchtscholen';Paulus Potterlaan;13;3761 AT;SOEST;342;SOEST;Algemeen bijzonder;356037664;www.vanderhucht.nl
97774;Neutr Bz Sch Ned Herv;Stadshillen;36;4651 CX;STEENBERGEN NB;851;STEENBERGEN;Protestants-Christelijk;167564504;                                                                                
97917;Stg. Jan Ligthartgroep Tilburg;Dr. Hub van Doorneweg;91;5026 RB;TILBURG;855;TILBURG;Algemeen bijzonder;134630300;www.janligthartgroeptilburg.nl
98190;Wageningse Schoolvereniging;Oude Eekmolenweg;30;6706 AP;WAGENINGEN;289;WAGENINGEN;Algemeen bijzonder;317413395;www.brinkschool.nl
98255;Ver. Montessorisch. Wassenaar;Zanderijpad;10;2242 GW;WASSENAAR;629;WASSENAAR;Algemeen bijzonder;705113388;www.montessorischoolwassenaar.nl
98398;Ver. tot Opr. & Inst.houd. NBS;Oudendijk;62-a;4285 WL;WOUDRICHEM;874;WOUDRICHEM;Algemeen bijzonder;183303349;                                                                                
98463;Zeister Schoolvereeniging;Verlengde Slotlaan;13;3707 CA;ZEIST;355;ZEIST;Algemeen bijzonder;          ;                                                                                
98489;Stg De Zeister Vrije School;Socrateslaan;22;3707 GL;ZEIST;355;ZEIST;Algemeen bijzonder;306920777;www.zeistervrijeschool.nl
99594;Ver. P.C.B. Vroomshoop;Klimop;1;7681 HD;VROOMSHOOP;1700;TWENTERAND;Protestants-Christelijk;546641805;www.cbsnieuwoord.nl
99672;Ver. v Prot.-Chr. Basisonderw.;Oordtstraat;2-b;7685 PB;BEERZERVELD;175;OMMEN;Protestants-Christelijk;523251247;www.hoekstee.nl
99711;Stg. CBS De Roerganger;Reggestraat;96;7468 EN;ENTER;189;WIERDEN;Protestants-Christelijk;547388851;www.bsderoerganger.nl
