PRODUKT_CODE;B_DAT_PRODUKT;PROD_COMP_CODE;B_DAT_PROD_COMP;E_DAT_PROD_COMP;SOORT_PROD_COMP;KOST_PL_E_COMP;KOST_PL_H_COMP;GB_NR_PROD_COMP;BEDR_PROD_COMP;BTW_C_PROD_COMP;BTW_P_PROD_COMP;MUT_DAT_PR_COMP;AMBT_CODE_MUT;TYD_STEMPEL
0124;19990701;2;19990701;19990723;K;6210;14;62181000;1.00;;0.00;19990625;RAP;3139402643
0125;20000101;1;20000101;20031231;O;6210;1141;82181000;0.00;;0.00;20010616;RAP;3201759079
0125;20000101;2;20000101;20031231;K;6210;1141;62099999;0.00;;0.00;20010616;RAP;3201759079
0125;19990724;1;19990724;19991231;O;6210;14;82181000;0.00;;0.00;20010616;RAP;3201759079
0125;19990724;2;19990724;19991231;K;6210;14;62181000;0.00;;0.00;20010616;RAP;3201759079
0125;19990701;1;19990701;19990723;O;6210;14;82181000;70.00;;0.00;19990625;RAP;3139402753
0125;19990701;2;19990701;19990723;K;6210;14;62181000;1.00;;0.00;19990625;RAP;3139402753
0126;20000101;1;20000101;20031231;O;6210;1141;82181000;0.00;;0.00;20010616;RAP;3201759079
0126;20000101;2;20000101;20031231;K;6210;1141;62099999;0.00;;0.00;20010616;RAP;3201759079
0126;19990724;1;19990724;19991231;O;6210;14;82181000;0.00;;0.00;20010616;RAP;3201759079
0126;19990724;2;19990724;19991231;K;6210;14;62181000;0.00;;0.00;20010616;RAP;3201759079
0126;19990701;1;19990701;19990723;O;6210;14;82181000;70.00;;0.00;19990630;RAP;3139822344
0126;19990701;2;19990701;19990723;K;6210;14;62181000;1.00;;0.00;19990630;RAP;3139822344
0127;20000101;1;20000101;20031231;O;6210;1141;82181000;0.00;;0.00;20010616;RAP;3201759079
0127;20000101;2;20000101;20031231;K;6210;1141;62099999;0.00;;0.00;20010616;RAP;3201759079
0127;19990724;1;19990724;19991231;O;6210;14;82181000;0.00;;0.00;20010616;RAP;3201759079
0127;19990724;2;19990724;19991231;K;6210;14;62181000;0.00;;0.00;20010616;RAP;3201759079
0127;19990701;1;19990701;19990723;O;6210;14;82181000;70.00;;0.00;19990630;RAP;3139823797
0127;19990701;2;19990701;19990723;K;6210;14;62181000;1.00;;0.00;19990630;RAP;3139823797
0128;20000101;1;20000101;20031231;O;6210;1141;82181000;0.00;;0.00;20010616;RAP;3201759079
0128;20000101;2;20000101;20031231;K;6210;1151;62099999;0.00;;0.00;20010616;RAP;3201759079
0128;19990724;1;19990724;19991231;O;6210;14;82181000;0.00;;0.00;20010616;RAP;3201759079
0128;19990724;2;19990724;19991231;K;6210;15;62181000;0.00;;0.00;20010616;RAP;3201759079
